Sample	Total Reads	Mapped Reads	Mapped Reads(%)	Properly Paired	Properly Paired(%)	Duplicate Reads	Read1	Read2	Singletons	Discordant Reads
SRR5341292	1778480	1764268	99.2	1745162	98.92	0	887013	888121	4540	0
SRR5341293	1330360	63588	4.78	15996	25.16	0	665165	665179	37570	0
SRR5341294	3280294	3161274	96.37	3060760	96.82	0	1633176	1636655	8965	0
SRR5341295	3360163	3081744	91.71	3029696	98.31	0	1673204	1676119	9584	0
SRR5341296	1509245	37961	2.52	746	1.97	0	754542	754700	28428	0
SRR5341297	4204136	4043571	96.18	3967780	98.13	0	2096002	2100287	8944	0
SRR5341298	1710400	76649	4.48	28908	37.71	0	854996	855345	35296	0
SRR5341299	5183801	256011	4.94	116254	45.41	0	2591462	2592244	104732	0
SRR5341300	10005344	204984	2.05	27830	13.58	0	5004342	5000971	127499	0
SRR5341301	6131741	5752212	93.81	5697352	99.05	0	3058551	3064372	7656	0
SRR5341302	2895716	590954	20.41	493680	83.54	0	1447428	1448007	93671	0
SRR5341303	3452058	225997	6.55	176694	78.18	0	1725962	1726037	43200	0
SRR5341304	5632029	5555352	98.64	5438910	97.9	0	2809340	2810981	3706	0
SRR5341305	2434672	2403390	98.72	2372572	98.72	0	1213837	1217186	10419	0
SRR5341306	6947470	6183582	89.0	6020996	97.37	0	3469225	3471768	13603	0
SRR5341307	2856777	2833500	99.19	2808602	99.12	0	1425726	1426970	4973	0
SRR5341308	11146274	216290	1.94	22136	10.23	0	5575559	5570710	144963	0
SRR5341309	2621255	2517893	96.06	2469252	98.07	0	1307145	1309835	9044	0
SRR5341310	14259644	6094746	42.74	5917656	97.09	0	7125044	7129928	82156	0
SRR5341311	9679658	9156738	94.6	8969790	97.96	0	4828820	4833239	3483	0
SRR5341312	3002777	2402494	80.01	2299744	95.72	0	1486477	1489058	12394	0
SRR5341313	13200726	247923	1.88	25152	10.15	0	6602007	6598705	166369	0
SRR5341314	3092436	3038868	98.27	3011262	99.09	0	1542469	1546937	11464	0
SRR5341315	6903599	572073	8.29	494786	86.49	0	3451578	3451880	74468	0
SRR5341316	2505469	2456696	98.05	2397926	97.61	0	1241626	1244084	2991	0
SRR5341317	4691253	4090512	87.19	4020488	98.29	0	2342916	2345103	9202	0
SRR5341318	7888429	7552651	95.74	7413402	98.16	0	3937007	3941776	3785	0
SRR5341319	4330485	3644826	84.17	3566122	97.84	0	2159734	2163384	18121	0
SRR5341320	12039901	11542926	95.87	11055946	95.78	0	6005873	6012454	4520	0
SRR5341321	5482856	5145583	93.85	5059970	98.34	0	2725517	2737521	14965	0
SRR5341322	2997095	2964381	98.91	2940150	99.18	0	1496059	1497630	5029	0
SRR5341323	2775166	78353	2.82	2408	3.07	0	1387617	1387538	58934	0
SRR5341324	1773148	1762822	99.42	1749954	99.27	0	885265	885706	2685	0
SRR5341325	5708268	5553674	97.29	5445556	98.05	0	2842034	2848015	8285	0
SRR5341326	2219906	2205742	99.36	2185420	99.08	0	1107593	1108499	4118	0
SRR5341327	4787013	4369647	91.28	4284264	98.05	0	2381378	2388434	11918	0
SRR5341328	9302913	9199499	98.89	8969416	97.5	0	4643147	4646825	3560	0
SRR5341329	6938986	6769702	97.56	6692964	98.87	0	3460484	3468399	7619	0
SRR5341330	5324191	887709	16.67	789032	88.88	0	2660541	2662957	94000	0
SRR5341331	6153466	6012937	97.72	5959172	99.11	0	3066437	3072290	6662	0
SRR5341332	6972431	3996207	57.31	3898954	97.57	0	3469053	3474107	23238	0
SRR5341333	10160154	1319250	12.98	1151090	87.25	0	5080901	5079166	162477	0
SRR5341334	6216271	5295438	85.19	5172736	97.68	0	3090053	3102021	14965	0
SRR5341335	2586873	2550450	98.59	2521952	98.88	0	1289668	1293475	11432	0
SRR5341336	2607731	2585975	99.17	2560592	99.02	0	1300980	1302228	4810	0
SRR5341337	1536239	1512672	98.47	1501434	99.26	0	767050	767537	3382	0
SRR5341338	9645189	8996468	93.27	8882070	98.73	0	4804974	4817248	8481	0
SRR5341339	1967234	1932352	98.23	1905542	98.61	0	980519	983874	12273	0
SRR5341340	1847309	1728523	93.57	1715280	99.23	0	922400	923215	4863	0
SRR5341341	4619144	1363854	29.53	1282768	94.05	0	2309410	2308251	64073	0
SRR5341342	7305597	6565539	89.87	6491906	98.88	0	3639917	3644875	6350	0
SRR5341343	2864647	2832983	98.89	2793814	98.62	0	1425426	1423512	4048	0
SRR5341344	9810646	9555866	97.4	9053100	94.74	0	4886657	4892196	4719	0
SRR5341345	4337112	105790	2.44	5618	5.31	0	2168305	2168718	70243	0
SRR5341346	13042319	9327238	71.52	9163868	98.25	0	6502481	6516922	14926	0
SRR5341347	11323173	11013958	97.27	10484318	95.19	0	5645060	5651587	5036	0
SRR5341348	1769237	1752269	99.04	1631034	93.08	0	845468	844605	3659	0
SRR5341349	1268212	1248100	98.41	1225790	98.21	0	631551	633514	8939	0
SRR5341350	1339105	1323840	98.86	1280382	96.72	0	661826	662875	2616	0
SRR5341351	3021629	2955080	97.8	2872160	97.19	0	1500566	1503254	6775	0
SRR5341352	4098281	4023043	98.16	3953336	98.27	0	2044176	2046011	3709	0
SRR5341353	2314857	2295002	99.14	2274708	99.12	0	1155209	1156417	4943	0
SRR5341354	4942395	4646961	94.02	4586478	98.7	0	2463857	2469494	8895	0
SRR5341355	7270493	6595258	90.71	6486428	98.35	0	3620304	3628257	8980	0
SRR5341356	5137124	4703088	91.55	4581880	97.42	0	2566391	2559160	10145	0
SRR5341357	4330164	4266088	98.52	4122202	96.63	0	2156567	2163067	9138	0
SRR5341358	5449364	5262278	96.57	5187322	98.58	0	2712625	2720186	10247	0
SRR5341359	6200381	6002859	96.81	5932206	98.82	0	3089991	3097243	8532	0
SRR5341360	2717264	2543530	93.61	2522376	99.17	0	1356058	1357437	5125	0
